targetname,datetime,tdb_utc_offset,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,lighttime,range,range_rate
,iso_utc,s,m,m,m,m/s,m/s,m/s,s,m,m/s
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 18:36:50.818,69.18236464262009,-15972644.687567513,4068699.9003027277,-21233621.53694698,71.34651679562806,-3754.0159193216587,-742.6694529786389,0.08966277215562707,26880222.855629396,-23.957936324039256
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 18:37:50.818,69.18236464262009,-15967774.436114892,3843311.2573668947,-21277396.511822347,91.00959997771491,-3758.8866995628523,-716.4939273407427,0.08965793758348246,26878773.487362787,-24.35628030154669
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 18:38:50.818,69.18236464262009,-15961724.501388486,3617638.6715001785,-21319599.22473983,110.66914329115849,-3763.4805416746426,-690.2612165510888,0.08965302345407523,26877300.26842886,-24.752881395223167
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 18:39:50.818,69.18236464262009,-15954495.137766564,3391698.77168769,-21360226.300066754,130.3237454734492,-3767.7970280662616,-663.9731705517397,0.08964803011906977,26875803.304253966,-25.1477110374438
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 18:40:50.818,69.18236464262009,-15946086.68372252,3165508.2114307554,-21399274.47331643,149.97200465177295,-3771.8357591601275,-637.6316441706508,0.08964295793584176,26874282.701976623,-25.540740760610845
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 18:41:50.818,69.18236464262009,-15936499.561859256,2939083.667664231,-21436740.591438446,169.61251841995812,-3775.5963534399307,-611.2384970257167,0.08963780726745807,26872738.570441514,-25.93194219881033
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 18:42:50.818,69.18236464262009,-15925734.27893884,2712441.8396713696,-21472621.613103297,189.24388391566723,-3779.078447498232,-584.7955934283492,0.08963257848265596,26871171.020193346,-26.32128708946584
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 18:43:50.818,69.18236464262009,-15913791.425907504,2485599.4479958746,-21506914.608980987,208.86469789787196,-3782.2816960835976,-558.3048022865414,0.08962727195582229,26869580.163470443,-26.70874727500226
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 18:44:50.818,69.18236464262009,-15900671.677916136,2258573.233351123,-21539616.76201392,228.47355682463737,-3785.205772147239,-531.7679970074149,0.08962188806697276,26867966.114198625,-27.094294704503433
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 18:45:50.818,69.18236464262009,-15886375.794335885,2031379.9555263505,-21570725.36768399,248.0690569312201,-3787.850366889175,-505.1870553992181,0.08961642720172959,26866328.987984587,-27.477901435374253
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 18:46:50.818,69.18236464262009,-15870904.618769247,1804036.392290368,-21600237.834273636,267.64979430845403,-3790.215189803887,-478.5638595728258,0.08961088975130065,26864668.902109418,-27.859539635007586
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 18:47:50.818,69.18236464262009,-15854259.079056341,1576559.3382926097,-21628151.683120977,287.21436498140787,-3792.299968725486,-451.90029584270656,0.0896052761124561,26862985.975521907,-28.239181582448225
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 18:48:50.818,69.18236464262009,-15836440.187276486,1348965.6039609406,-21654464.54886921,306.7613649884237,-3794.104449872349,-425.19825462729636,0.08959958668750714,26861280.32883185,-28.616799670062143
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 18:49:50.818,69.18236464262009,-15817449.039745027,1121272.0143976565,-21679174.17970966,326.2893904603765,-3795.628397891242,-398.4596303489296,0.08959382188428211,26859552.08430313,-28.99236640520353
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 18:50:50.818,69.18236464262009,-15797286.817005374,893495.4082722227,-21702278.437619068,345.79703770028675,-3796.8715959009182,-371.68632133313304,0.08958798211610373,26857801.365846775,-29.365854411890805
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 18:51:50.818,69.18236464262009,-15775954.783816222,665652.6367112126,-21723775.298590798,365.28290326328954,-3797.8338455351704,-344.8802297073721,0.08958206780176552,26856028.299013954,-29.737236432474912
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 18:52:50.818,69.18236464262009,-15753454.289134158,437760.56218685186,-21743662.852859728,384.74558403679026,-3798.514966985347,-318.04326129935106,0.0895760793655081,26854233.010988753,-30.10648532931792
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 18:53:50.818,69.18236464262009,-15729786.766091103,209836.05740138,-21761939.30512135,404.18367732107424,-3798.9147990423057,-291.1773255345622,0.08957001723699434,26852415.630580917,-30.47357408646859
NAVSTAR-68 (spacecraft) (-139166,2025-10-01 18:54:50.818,69.18236464262009,-15704953.73196723,-18103.995829781776,-21778602.97474451,423.5957809101612,-3799.033199137803,-264.28433533344776,0.08956388185128585,26850576.2882186,-30.838475811341585
